일자,총자외선지수 일최고값,
2025-01-01,3.10,
2025-01-02,3.50,
2025-01-03,3.20,
2025-01-04,3.50,
2025-01-05,1.20,
2025-01-06,3.10,
2025-01-07,3.50,
2025-01-08,2.80,
2025-01-09,3.80,
2025-01-10,3.70,
2025-01-11,3.40,
2025-01-12,3.20,
2025-01-13,2.60,
2025-01-14,2.50,
2025-01-15,3.80,
2025-01-16,3.00,
2025-01-17,3.60,
2025-01-18,3.40,
2025-01-19,3.60,
2025-01-20,2.80,
2025-01-21,3.00,
2025-01-22,3.50,
2025-01-23,3.90,
2025-01-24,3.90,
2025-01-25,4.20,
2025-01-26,3.40,
2025-01-27,4.00,
2025-01-28,2.20,
2025-01-29,4.70,
2025-01-30,3.60,
2025-01-31,1.20,
2025-02-01,4.00,
2025-02-02,4.00,
2025-02-03,4.60,
2025-02-04,5.20,
2025-02-05,10.90,
2025-02-06,4.40,
2025-02-07,5.20,
2025-02-08,5.00,
2025-02-09,5.10,
2025-02-10,4.60,
2025-02-11,4.30,
2025-02-12,0.90,
2025-02-13,5.10,
2025-02-14,4.60,
2025-02-15,2.70,
2025-02-16,3.70,
2025-02-17,5.20,
2025-02-18,5.20,
2025-02-19,5.20,
2025-02-20,5.50,
2025-02-21,5.20,
2025-02-22,5.40,
2025-02-23,7.40,
2025-02-24,5.50,
2025-02-25,4.50,
2025-02-26,5.70,
2025-02-27,5.20,
2025-02-28,4.80,
2025-03-01,5.20,
2025-03-02,4.80,
2025-03-03,5.90,
2025-03-04,3.60,
2025-03-05,3.80,
2025-03-06,6.00,
2025-03-07,4.40,
2025-03-08,5.70,
2025-03-09,5.50,
2025-03-10,5.30,
2025-03-11,6.00,
2025-03-12,4.60,
2025-03-13,5.90,
2025-03-14,5.90,
2025-03-15,6.10,
2025-03-16,4.40,
2025-03-17,6.00,
2025-03-18,6.30,
2025-03-19,6.30,
2025-03-20,6.00,
2025-03-21,6.20,
2025-03-22,6.40,
2025-03-23,7.90,
2025-03-24,5.80,
2025-03-25,4.60,
2025-03-26,6.60,
2025-03-27,3.90,
2025-03-28,7.20,
2025-03-29,7.40,
2025-03-30,6.90,
2025-03-31,8.70,
2025-04-01,6.60,
2025-04-02,4.70,
2025-04-03,6.90,
2025-04-04,7.20,
2025-04-05,1.40,
2025-04-06,6.90,
2025-04-07,,
2025-04-08,,
2025-04-09,,
2025-04-10,,
2025-04-11,,
2025-04-12,5.40,
2025-04-13,5.60,
2025-04-14,2.80,
2025-04-15,7.30,
2025-04-16,6.50,
2025-04-17,5.50,
2025-04-18,5.50,
2025-04-19,2.40,
2025-04-20,10.00,
2025-04-21,7.20,
2025-04-22,1.80,
2025-04-23,7.50,
2025-04-24,6.90,
2025-04-25,6.70,
2025-04-26,7.40,
2025-04-27,5.40,
2025-04-28,7.50,
2025-04-29,9.30,
2025-04-30,7.60,
2025-05-01,1.40,
2025-05-02,10.00,
2025-05-03,6.70,
2025-05-04,7.80,
2025-05-05,3.80,
2025-05-06,5.80,
2025-05-07,7.90,
2025-05-08,7.60,
2025-05-09,2.90,
2025-05-10,1.10,
2025-05-11,6.20,
2025-05-12,7.70,
2025-05-13,7.10,
2025-05-14,7.70,
2025-05-15,4.50,
2025-05-16,3.10,
2025-05-17,8.60,
2025-05-18,7.90,
2025-05-19,4.30,
2025-05-20,6.60,
2025-05-21,7.60,
2025-05-22,7.90,
2025-05-23,3.90,
2025-05-24,4.50,
2025-05-25,8.30,
2025-05-26,7.40,
2025-05-27,6.60,
2025-05-28,6.70,
2025-05-29,7.10,
2025-05-30,6.10,
2025-05-31,5.70,
2025-06-01,7.50,
2025-06-02,2.70,
2025-06-03,8.00,
2025-06-04,8.40,
2025-06-05,8.10,
2025-06-06,8.00,
2025-06-07,5.70,
2025-06-08,8.70,
2025-06-09,8.20,
2025-06-10,4.40,
2025-06-11,8.20,
2025-06-12,8.40,
2025-06-13,6.00,
2025-06-14,8.80,
2025-06-15,8.30,
2025-06-16,4.30,
2025-06-17,7.40,
2025-06-18,7.80,
2025-06-19,7.70,
2025-06-20,2.30,
2025-06-21,3.80,
2025-06-22,8.20,
2025-06-23,7.50,
2025-06-24,5.70,
2025-06-25,3.30,
2025-06-26,4.30,
2025-06-27,6.30,
2025-06-28,5.40,
2025-06-29,5.40,
2025-06-30,7.30,
2025-07-01,9.50,
